id,alpha,delta,g,r,i,v_helio,v_helio_err,mu_alpha,mu_aplha_err,mu_delta,mu_delta_err,fe_h,D,Member,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Separation
s135603+263942,209.013621,26.661679,20.4,19.95,19.78,204.0,8.5,-0.466,1.308,-0.583,1.047,-2.5,15.9,Y,1450817000283805824,209.01362136840763,0.3279709,26.661679428273118,0.32154736,0.2056763431829071,0.51291555,1.4608561,-1.1474530941203298,0.5729463,-0.9041303732593571,0.45464176,19.971952,20.39613,19.46852,0.0019447127687254714
s135630+265024,209.128453,26.840015,18.96,19.05,19.17,171.6,11.1,-1.211,0.562,-1.139,0.436,,9.0,Y,1450826552290908800,209.12845289039976,0.13587661,26.840015041969792,0.12934573,-0.13836547966937562,0.21535125,1.2827154,-0.8372378966748335,0.24185811,-0.9717980508706628,0.18111946,18.972002,19.081041,18.888666,3.8310756624711234E-4
s135638+265222,209.1596,26.872888,20.19,19.73,19.56,188.9,7.7,-1.84,0.844,-1.784,0.761,-2.3,8.8,Y,1450826724089602816,209.15959986579333,0.2591735,26.872887791214136,0.24038363,-1.1624737262136378,0.40446907,1.4801781,-0.8572536766326424,0.43225485,-1.2066662203730392,0.31782544,19.772432,20.113174,19.221954,8.664187842577637E-4
s135642+265847,209.174766,26.979976,18.94,19.05,19.17,180.4,10.9,-1.932,0.508,0.579,0.5,,13.5,Y,1451038792395234560,209.17476554395506,0.14319845,26.979976099965757,0.13620071,-0.010124740910490482,0.22303818,1.7972834,-1.652479751048567,0.240591,-0.7067801105462144,0.18739386,18.95601,19.068645,18.82729,0.0015066907337585383
s135702+264947,209.261163,26.829991,20.03,19.61,19.4,197.8,7.2,-1.709,0.767,-0.332,0.631,-2.7,3.5,Y,1450823051893369984,209.26116326616125,0.2063843,26.829990641750303,0.20391448,0.7459938901095562,0.34155992,1.7797062,-1.4005441913751646,0.35526025,-1.0981031096365343,0.28066188,19.606466,19.9546,19.071627,0.0015473859105603334
s135719+263424,209.331958,26.573608,19.1,19.3,19.5,220.8,12.3,-1.492,0.531,-0.928,0.48,,12.4,Y,1450803222028673280,209.33195735553264,0.17010693,26.573607994079836,0.17031965,-0.1062325155566152,0.29023066,1.5560168,-1.3786672956831312,0.28356647,-0.7214324574311062,0.2399774,19.207664,19.225935,19.20282,0.002075099300445032
s135752+264815,209.467272,26.804392,18.99,19.16,19.35,209.3,11.5,-0.207,0.708,-0.927,0.735,,10.1,Y,1450833767836315392,209.46727176941494,0.15331759,26.80439210899085,0.150363,-0.10711266524509427,0.24341567,1.6284454,-1.324451231239355,0.24276966,-0.9474509914815056,0.18762094,19.061163,19.138792,19.060343,8.383930819584289E-4
s135755+263953,209.479318,26.664838,20.16,19.71,19.52,185.7,7.7,-0.462,0.786,-0.479,0.673,-2.1,12.5,Y,1450828682594980736,209.47931840011066,0.22645658,26.66483792580944,0.22498338,0.20903151987063334,0.37146413,1.0397723,-0.47083789005258214,0.36532238,-0.9270588039089067,0.28883553,19.727192,20.194992,19.200817,0.0013146248740594205
s135800+265009,209.500251,26.83587,20.99,20.61,20.47,195.5,11.0,-1.006,2.148,-1.389,1.696,-1.0,12.3,Y,1450835314024556544,209.5002504822262,0.5625719,26.835870556802046,0.62434494,0.29973190670232175,1.0203531,1.6981952,-1.6119174695429717,1.3104825,-0.5344054539851482,0.983417,20.633226,21.04888,20.123419,0.002604676405539774
s135804+261716,209.520145,26.287895,18.94,19.07,19.24,185.0,10.9,-0.566,0.515,-1.793,0.441,,31.9,Y,1450748486965605760,209.5201452961928,0.13386458,26.287894862091193,0.13249996,0.006645406242845903,0.2345218,1.3650265,-0.8324620442016086,0.24025178,-1.0818059432270009,0.18116203,18.9852,19.05403,18.913845,0.0010772439203173096
s135817+265641,209.573497,26.944967,20.52,20.16,19.94,210.4,9.2,-1.435,0.994,0.541,0.904,-3.2,18.7,Y,1450842185972291840,209.57349729148834,0.31943262,26.944966696121,0.29511666,-0.035872365208385396,0.48524064,1.3443027,-1.064027003246979,0.530125,-0.8215815569358192,0.40118018,20.179977,20.475143,19.685871,0.001439378298976734
s135826+263904,209.610213,26.651188,20.3,19.92,19.71,199.6,7.9,0.058,0.988,-1.044,0.84,-2.2,19.2,Y,1450781163077088000,209.61021264833212,0.2588307,26.651187744785226,0.24620718,0.04629724171043187,0.4267072,1.0280681,-0.6009018880232134,0.43412715,-0.8341707038162685,0.3182281,19.909315,20.22152,19.417645,0.0014575417581768099
s135840+264242,209.668856,26.711657,20.31,20.11,19.99,191.2,8.2,-2.084,1.058,-2.503,0.853,-1.4,21.1,Y,1450782949783229824,209.66885527995464,0.31503263,26.7116573348675,0.27832288,-0.5790263634777079,0.46092317,3.664037,-3.1940126788968763,0.5488058,-1.7953967321780322,0.35913745,20.081816,20.403976,19.69157,0.002610546583609437
s135848+262425,209.700291,26.407019,20.2,19.89,19.77,223.8,7.7,0.24,0.906,-1.969,0.914,-0.9,31.5,Y,1450739381635432192,209.700290770931,0.2526661,26.40701828872579,0.24437013,-0.011893263077666798,0.38486806,3.0162055,-0.21586177899388553,0.43730235,-3.0084713584454192,0.3224279,19.903978,20.26834,19.533255,0.0026649840434168543
s135914+264136,209.810712,26.693513,18.93,19.04,19.15,209.2,10.8,-1.595,0.487,-1.315,0.436,,28.8,Y,1450785045727265792,209.81071134374986,0.13059703,26.69351291742037,0.12422926,-0.0020417713490810505,0.21252584,1.6687593,-1.239291421863156,0.22561382,-1.1175484525600679,0.17394911,18.95129,19.025019,18.812002,0.0021315436151112268
BooIII_RR1,210.143865,25.931296,19.22,19.01,18.96,173.0,13.0,-1.34,0.417,-0.978,0.377,-2.0,68.7,Y,1258556500130302080,210.14386480290764,0.10580009,25.93129562145127,0.11315908,-0.15298722059639014,0.19175196,1.5221925,-1.2354415745650527,0.1848464,-0.889243527593409,0.15010911,18.844217,19.044685,18.498198,0.0015047669234593344
