alpha,delta,g,r,i,mu_alpha,mu_alpha_err,mu_delta,mu_delta_err,D,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Separation
209.529019,26.471237,18.85,18.78,18.82,-1.23,0.462,-0.131,0.414,22.6,1450755118394910720,209.5290183732547,0.12488779,26.471236881346545,0.1192911,0.15502230453826582,0.20943554,1.6428156,-1.3012565443821207,0.20932062,-1.0027834250382028,0.1567333,18.801832,19.022978,18.499727,0.0020644054974756896
209.529158,26.385552,18.86,18.75,18.8,-2.088,0.387,-0.468,0.364,26.9,1450750170592551040,209.52915815588443,0.117326625,26.385551685590062,0.11730737,-9.213658489737563E-4,0.20254977,1.5926908,-1.2597972454393238,0.21066636,-0.9744613789670643,0.158405,18.82548,18.990812,18.578438,0.001238495924866651
209.172508,26.415167,19.97,19.67,19.27,-0.02,0.589,-0.587,0.661,22.4,1450794460295316224,209.17250765107383,0.17943434,26.41516667607195,0.17601204,-0.020071155782462033,0.2746904,0.33071804,0.24085667044667616,0.31507775,-0.22663294354863572,0.24867451,19.374498,19.700443,18.76956,0.00162033295120317
209.204334,26.378583,19.52,18.91,18.7,-1.719,0.428,-1.247,0.426,24.1,1450793433799362560,209.2043336656585,0.13947889,26.378582508622188,0.1444161,-0.11291825734750074,0.22479351,0.9347281,-0.5507713566103118,0.24743654,-0.7552268200252698,0.20043205,18.993942,19.462051,18.361673,0.0020717049594492394
208.823004,26.797716,18.57,18.05,17.84,-1.261,0.248,-1.461,0.242,24.6,1451010170732704896,208.82300384360516,0.0857369,26.797715737023722,0.07969658,0.4059827307574646,0.12240707,2.4009552,-1.701020709900775,0.1410707,-1.6944362496399843,0.10900123,18.08258,18.522263,17.495344,0.00107183494437457
208.854035,26.90521,18.85,18.9,18.98,-1.032,0.406,-0.8,0.397,24.1,1451011923079404544,208.85403441266328,0.13485725,26.905209729102165,0.123875074,0.19122502868150032,0.20032543,1.6011465,-1.2435513557275466,0.22516662,-1.0085881242998722,0.17064525,18.822546,18.938917,18.654583,0.0021228144430312464
208.890655,26.42476,19.12,18.52,18.31,0.138,0.324,-2.964,0.301,29.7,1450435091791688448,208.89065538873064,0.11212782,26.4247599602221,0.10194658,0.41557716819414703,0.16980168,2.8641548,-0.03585685606110611,0.1921329,-2.8639304607329747,0.15043181,18.571682,19.058746,17.940742,0.001261372075863928
208.836855,26.663041,19.9,19.55,19.39,-2.176,0.885,-0.996,0.762,24.7,1451003917260608384,208.836854946243,0.22745284,26.66304081865799,0.20599063,0.4698493218957879,0.33581904,3.0051436,-1.521269304103194,0.42226544,-2.591645784032499,0.2905735,19.564362,19.933569,19.08052,6.753509762403076E-4
209.204661,26.736842,19.74,19.29,19.08,-0.917,0.578,-0.51,0.472,4.7,1450820608056155648,209.20466129258605,0.17358106,26.736841992723363,0.16067763,-0.4173562869077709,0.27433547,1.3353388,-1.056611875014418,0.29019505,-0.8165176543910251,0.22266175,19.29701,19.759502,18.742357,9.410570423561972E-4
209.556687,26.444826,18.8,18.31,18.08,-1.435,0.287,-0.534,0.281,24.7,1450752026018903168,209.5566873061063,0.09269725,26.444826064421534,0.095538236,-0.08486412180116684,0.15914738,1.6549839,-1.3693286416401769,0.16242677,-0.9294680744919537,0.12354932,18.318943,18.74019,17.701561,0.0010135648532253326
209.61231,26.759489,19.42,18.95,18.74,-0.922,0.476,-0.931,0.381,17.8,1450830267438457344,209.61230996378362,0.13728364,26.759488682492393,0.1282963,-0.15024055992659022,0.21936667,1.3167472,-1.082755807053855,0.2235848,-0.7493083385334585,0.16532843,18.960901,19.404945,18.385475,0.0011489404980826378
209.667235,26.695234,16.31,15.36,14.92,-1.199,0.065,-0.786,0.058,21.3,1450782713560551808,209.66723469744775,0.018426737,26.695234244652973,0.01838663,0.028012185199268874,0.032264467,1.4783505,-1.1743996667005816,0.03425357,-0.8979452134200575,0.025284681,15.343153,16.053083,14.5208645,0.0013124886554967022
209.382053,26.737508,17.83,17.12,16.81,-0.855,0.277,-1.699,0.252,5.9,1450809617235662336,209.382052424055,0.077421285,26.737507606493352,0.0760425,0.7380100033694452,0.12582493,2.3023765,-2.190270543304738,0.12433753,-0.7096850530869658,0.09609428,17.201487,17.678808,16.433537,0.002331447020009381
209.526091,26.552868,18.39,17.92,17.69,-1.292,0.224,-0.909,0.203,18.7,1450756767662816768,209.5260910125314,0.07020328,26.552867826950667,0.0701653,-0.001875017254347175,0.12562321,1.5622332,-1.1592371921797966,0.122627854,-1.0472544631616927,0.095465384,17.928654,18.33863,17.346611,6.242832546186879E-4
209.504614,26.577302,19.38,18.93,18.67,-1.269,0.445,-0.69,0.396,16.9,1450757042540728960,209.50461374794477,0.1394689,26.577301916848334,0.13726963,0.044630119718675317,0.2298245,1.2491121,-1.0200607497371994,0.21814503,-0.7209418365621006,0.16937888,18.919277,19.272598,18.355396,8.649654356481297E-4
209.092316,27.09268,18.49,17.84,17.55,-0.695,0.313,-1.039,0.28,21.6,1451043602758623232,209.0923158236507,0.08944717,27.09267950497019,0.0852648,0.4858217491095339,0.15003435,2.0661762,-1.096370001479018,0.15714839,-1.7513014617795497,0.115108326,17.94072,18.38744,17.18609,0.0018695861018691046
209.245742,27.212404,18.91,19.0,19.16,-2.493,0.521,-1.649,0.411,26.3,1451046076659819776,209.2457413157883,0.14150895,27.212404313202597,0.13442406,-0.139827688819436,0.23091182,1.1563333,-0.9268788396825998,0.23678163,-0.6913771259449414,0.17345199,18.93763,19.067375,18.803312,0.0024636876994325067
