galaxy,star,source_id,ra_,dec_,g,g0,r0,slit,t_exp,sn_ratio1,sn_ratio2
CarII,CarII-6544,5293947247051916544,114.2129583,-58.0295278,15.07,15.63,14.63,0.5,1.8,22,67
CarII,CarII-7872,5293894539213647872,114.2162083,-58.2775556,15.50,15.92,15.01,0.7,1.0,25,60
CarII,CarII-5664,5293896360279425664,114.5354583,-58.1597222,16.33,16.55,15.86,0.7,3.8,38,80
CarII,CarII-0064,5293951473299720064,114.0885417,-57.9667222,16.78,16.96,16.30,1.0,2.6,22,54
CarII,CarII-4704,5293928074318184704,113.9069167,-58.0310556,17.40,17.46,16.93,0.7,3.3,13,34
CarII,CarII-9296,5293900827045399296,114.4157917,-58.0852500,17.72,17.86,17.29,1.0,3.0,15,35
CarII,CarII-2064,5293951881319592064,114.0055417,-57.9788333,18.22,18.27,17.77,0.7,4.6,13,31
CarII,CarII-4928,5293951503362524928,114.1040833,-57.9539444,18.42,18.40,17.96,1.0,5.5,13,31
CarII,CarII-V3,5293940924860019584,113.7880000,-57.9541111,18.46,18.13,18.01,1.0,2.5,15,24
CarIII,CarIII-1120,5293955665187701120,114.5929167,-57.8839167,17.46,17.51,16.97,0.7,2.7,18,39
CarIII,CarIII-8144,5293907630273478144,114.6455417,-57.9514722,17.65,17.72,17.18,0.7,3.2,21,41
