source_id,ra,dec,pmra,pmdec,FeH,e_FeH,Dist,e_Dist
4126391959941481344,254.6440,-21.1857,-1.9582,-0.4029,-0.75,0.69,31.09,3.01
3278874447192970880,68.2296,1.4347,-0.0036,-1.5532,-0.83,0.39,22.94,1.83
4049213115752945024,272.9878,-30.7212,-2.6923,-1.0830,-1.72,0.53,21.00,2.70
4049275993982198784,273.0300,-30.3651,-2.7870,-0.8349,-1.99,0.52,26.89,2.56
4049745386708273152,273.9588,-29.5741,-1.6353,-0.8313,-2.01,0.92,24.13,3.45
4052147746648211712,274.2707,-28.0143,-2.3168,-1.7097,-1.96,0.45,25.71,2.95
4051394993395236096,274.8139,-28.3340,-2.6007,-1.4730,-0.93,0.66,21.96,2.97
4040907718345693824,265.9934,-36.5574,-2.3420,-0.3696,-1.43,0.52,16.96,1.68
4119077703729739520,267.1176,-19.8543,-2.4453,-0.6449,-1.92,0.53,16.02,1.88
4070509526320451200,267.6561,-21.8534,-2.4508,-1.1797,-1.54,0.53,15.63,1.84
4045875655515863680,273.6927,-32.0110,-2.5215,-0.9274,-1.33,0.94,23.55,2.97
4049629285102227328,273.9564,-30.0255,-2.1397,-1.0612,-1.67,0.59,24.42,2.28
4049723190226014848,274.2111,-29.8770,-2.6468,-0.9918,-1.45,0.46,24.61,2.09
4049734387240275072,274.4784,-29.5816,-2.4857,-1.1790,-1.19,0.51,23.61,2.14
4051354380219168256,274.5878,-28.6183,-2.6982,-1.4869,-1.37,0.45,26.23,2.34
4049760092617558144,274.5963,-29.4687,-1.8891,-0.6703,-1.59,0.73,21.94,2.44
4049521532993053312,274.8331,-30.0238,-2.7440,-1.4164,-1.24,0.96,24.43,2.64
4051329851639573120,275.0609,-28.5666,-2.1815,-0.8474,-1.40,0.57,25.14,2.59
4051281885405123712,275.1542,-28.9542,-2.5111,-1.3211,-1.86,0.56,25.95,2.28
4049479888952738560,275.2280,-30.2035,-2.9587,-1.5748,-1.74,0.44,25.75,3.78
4046444068672593664,275.3101,-30.4965,-2.6414,-0.5900,-1.63,0.43,27.54,2.66
4052698979836276864,275.3452,-26.9998,-2.6180,-1.3422,-1.73,0.58,26.39,3.29
4051433927259318016,275.3733,-28.2540,-2.6965,-1.0655,-1.53,0.48,29.39,3.28
4051538449672918784,275.3810,-27.6206,-2.6348,-1.4519,-1.68,0.51,28.75,3.27
4051314286665515520,275.4936,-28.7027,-2.1054,-1.4274,-1.77,0.47,16.19,1.48
4051441383454970752,275.5390,-28.1243,-2.3519,-1.2531,-1.04,0.66,27.44,3.03
4047184898945785600,279.7316,-30.1663,-3.0127,-1.4424,-1.41,0.59,25.07,2.37
4047129442313532160,279.7830,-30.6957,-2.7669,-1.5504,-1.61,0.42,25.06,2.24
4047077176843468800,279.8683,-30.8780,-2.7674,-1.1131,-1.49,0.48,26.50,2.54
4047105905883418624,279.8829,-30.6763,-2.1786,-1.0593,-1.61,0.50,28.77,2.99
4047159949451686016,279.8989,-30.4508,-3.0120,-1.3126,-1.46,0.54,25.42,2.39
4047167272398352768,279.9083,-30.3439,-2.4787,-1.1172,-1.60,0.43,26.69,2.17
4047280517778027776,279.9369,-30.0449,-2.3238,-1.0802,-2.01,0.49,29.66,2.31
4047471661003726336,279.9499,-29.8957,-2.2263,-1.1029,-1.82,0.43,27.26,2.39
4047170158616561536,279.9889,-30.2228,-2.8408,-1.1482,-1.73,0.47,22.56,2.27
4047058111478874752,280.0240,-31.0621,-2.6151,-1.3185,-1.70,0.46,23.48,2.70
4047107619569752704,280.0574,-30.5870,-2.5271,-1.4593,-1.69,0.60,27.01,2.17
4047165790606178688,280.0860,-30.3003,-2.5112,-1.1060,-0.46,0.73,24.31,2.09
4047278215673310976,280.1027,-30.0487,-2.8918,-1.6449,-1.91,0.46,26.55,2.52
4047116827980075008,280.1177,-30.4392,-2.2906,-1.1968,-1.75,0.57,25.38,2.41
4047262895539336960,280.1403,-30.2058,-3.0415,-1.3480,-1.43,0.47,22.42,2.28
4047259420896905984,280.1499,-30.2908,-2.8680,-1.1185,-1.77,0.46,29.19,2.84
4047164450577658496,280.1690,-30.3500,-2.6375,-1.7185,-1.63,0.52,24.37,2.73
4047110063445417600,280.1809,-30.6093,-2.8830,-1.4768,-2.25,0.46,27.96,2.36
4047115526643437312,280.2145,-30.4909,-2.5070,-1.0147,-2.04,0.46,27.86,2.72
4047116007679793152,280.2319,-30.4503,-2.4869,-0.9618,-1.14,0.49,24.08,2.46
4047111330421620096,280.2536,-30.5607,-2.7713,-1.1945,-1.83,0.45,26.36,2.38
4047260932726819328,280.2774,-30.2042,-2.3386,-0.9395,-1.66,0.48,28.07,2.98
4047210904966721152,280.3196,-30.3361,-2.6837,-1.3267,-1.18,0.54,23.69,2.53
4047215509149316608,280.4931,-30.2829,-2.4120,-1.0184,-1.61,0.64,26.63,2.54
4047188296241080704,280.5106,-30.6461,-2.7095,-1.1322,-1.52,0.49,25.63,2.01
4047222935147573376,280.5164,-30.0439,-2.7368,-0.8894,-1.38,0.46,34.94,3.85
4047294265994182400,280.6016,-29.9040,-2.4377,-1.4163,-1.51,0.48,26.34,2.12
4047201632106689152,280.6243,-30.3682,-2.6705,-1.0557,-1.15,0.80,28.01,2.61
4047204140407149056,280.7817,-30.2470,-2.9237,-1.5540,-1.41,0.44,25.25,1.98
4047241725628525952,280.7877,-30.0644,-3.1113,-1.5905,-1.71,0.51,25.08,1.99
6737346284762458496,280.8286,-30.5304,-2.4503,-1.5262,-1.41,0.42,27.67,2.98
6737173734461252352,280.8680,-31.0772,-2.7285,-1.1543,-1.09,0.49,27.79,2.44
4047237538046895872,280.9413,-30.0119,-2.7210,-1.4255,-1.60,0.49,24.23,1.93
6737343712096688000,280.9952,-30.5327,-2.9025,-1.0505,-1.53,0.47,26.22,2.25
6737268082000858496,281.0108,-31.0009,-2.7072,-1.3011,-2.27,0.58,27.42,2.65
4047253549682208256,281.0228,-29.7808,-2.8847,-1.3768,-1.83,0.55,27.56,2.44
