col1,source_id,ra,dec,phot_g_mean_mag,pmra,pmdec,type,des_id,ztf_id,psi_id,des_p,ztf_p,psi_p,gaia_p,separ,galaxy
0,4918034941751885696,1.07229,-59.37689,17.54,-0.053,-1.5349,RRab,1041991456,-,-,0.57282,,,0.57282,14.03,TucanaIII
1,4917942612838673024,0.99559,-60.06946,19.4,0.8997,-1.7487,RRc,-,-,-,,,,0.36598,5.32,TucanaIV
2,6487761169641710464,357.54223,-62.06401,19.3,0.8134,-0.7239,RRc,-,-,-,,,,0.29653,14.09,TucanaIV
3,4905692507117153792,2.36329,-60.98564,19.23,,,RRab,1045709754,-,-,0.62125,,,,8.43,TucanaIV
4,6567699405896736384,331.10818,-45.04026,19.13,0.38,-0.6487,RRc,-,-,-,,,,0.36131,14.02,GrusII
5,6561357319748782976,331.32574,-46.60868,18.74,0.4474,-1.9714,RRab,-,-,-,,,,0.62057,3.12,GrusII
6,6561426485901552640,330.87292,-46.28102,19.11,0.496,-1.5272,RRc,-,-,-,,,,0.4044,2.03,GrusII
7,6564567275226088192,328.87317,-46.27519,18.61,,,RRab,940908371,-,-,0.57105,,,,18.61,GrusII
8,6561409409112267264,331.02493,-46.48205,18.64,,,RRab,947555289,-,-,0.41952,,,,0.42,GrusII
9,6561187685720767872,330.83239,-47.92666,18.55,,,RRab,947930606,-,-,0.60425,,,,14.95,GrusII
10,6864048408410304896,298.15855,-22.05848,19.76,0.3723,-0.67,RRc,-,-,-,,,,0.30785,0.34,SagittariusII
11,6864423994704275200,298.14951,-22.0333,19.68,0.0635,-0.5289,RRc,-,-,-,,,,0.31856,1.25,SagittariusII
12,6864422757758521984,298.23647,-22.06901,19.64,-0.6756,-0.9773,RRc,-,-,-,,,,0.40651,2.3,SagittariusII
13,6864422993976659968,298.18499,-22.05134,19.59,-0.7179,-0.9086,RRab,-,6864422993976659968,-,,0.66549,,0.66565,0.78,SagittariusII
14,6865195302117134336,298.05471,-21.71638,19.44,,,RRab,-,6865195302117134336,-,,0.54079,,,12.84,SagittariusII
15,87207528534363264,34.75026,20.10978,18.55,1.4086,-0.3918,RRab,-,87207528534363264,-,,0.74948,,0.74949,1.74,SegueII
16,-,344.19906,-50.18682,20.75,,,RRab,983283631,-,-,0.63549,,,,1.22,GrusI
17,1243152071642576896,208.67327,15.30334,19.31,-1.4792,-0.0398,RRab,-,1243152071642576896,**,,0.62692,0.62694,0.62691,11.26,BootesI
18,1226522469372990208,211.74214,12.5206,19.73,0.0338,-1.0351,RRab,-,1226522469372990208,**,,0.64768,0.64766,0.64766,17.8,BootesI
19,1229801659723433600,210.67042,13.05105,19.14,-1.331,-0.3902,RRab,-,1229801659723433472,**,,0.59843,0.59845,0.59841,9.97,BootesI
20,1230741020611316224,209.51825,14.222,19.44,-0.5014,-0.4917,RRab,-,1230741020611316224,**,,0.66164,0.6617,0.66168,4.0,BootesI
21,1230772597210842624,209.95568,14.16816,19.43,0.1171,-1.277,RRc,-,1230772597210842624,**,,0.40118,0.40118,0.40116,2.01,BootesI
22,1230825339409289600,209.77648,14.31665,19.39,-0.9687,-1.1283,RRab,-,1230825339409289728,**,,0.70497,0.70495,0.70489,2.08,BootesI
23,1230827538432572416,209.85726,14.39589,19.44,-0.1281,-0.9985,RRab,-,1230827538432572416,**,,0.73456,0.73456,0.73457,1.35,BootesI
24,1230829771815569536,210.04618,14.40544,19.37,-0.7333,-0.7872,RRab,-,-,**,,,0.84541,0.84544,0.66,BootesI
25,1230833517027065728,209.99869,14.45941,19.41,-0.7227,-0.5317,RRc,-,-,**,,,0.41776,0.41778,0.34,BootesI
26,1230834135502357632,209.94697,14.46561,19.58,0.5949,-0.8378,RRab,-,1230834135502357504,**,,0.57597,0.57601,0.57603,0.59,BootesI
27,1230834925776358912,209.94143,14.52796,19.46,-0.5488,-0.8061,RRc,-,1230834925776358912,**,,0.39177,0.39177,0.39177,0.6,BootesI
28,1230835853488763008,210.10727,14.55231,19.52,-0.4078,-1.1457,RRab,-,-,**,,,0.62794,0.62789,0.67,BootesI
29,1230836437604328704,210.03704,14.57336,19.52,-0.9888,-0.7929,RRc,-,-,**,,,0.386,0.386,0.36,BootesI
30,1230848326073809280,209.98331,14.58193,19.58,-0.7241,-1.9393,RRc,-,1230848326073809408,**,,0.39485,0.39444,0.39481,0.49,BootesI
31,1230850009701023232,209.96388,14.65162,19.57,-0.6506,-1.3319,RRc,-,-,**,,,0.31198,0.31198,0.92,BootesI
32,1230859630427736832,210.1119,14.59251,19.46,-0.5818,-0.7755,RRc,-,-,**,,,0.32289,0.32288,0.8,BootesI
33,1230860695583613824,210.08976,14.62465,19.52,-0.5036,-1.129,RRc,-,-,**,,,0.38922,0.38921,0.8,BootesI
34,1230914571649196544,208.64523,14.20422,19.17,-1.1768,-0.5864,RRc,-,1230914571649196288,**,,0.69496,0.34748,0.34748,10.31,BootesI
35,1231064517547444736,209.61268,15.01416,19.52,-0.4525,-0.9253,RRc,-,1231064517547444736,**,,0.37082,0.37084,0.37083,4.31,BootesI
36,1231067163247260160,209.82685,14.84828,19.52,-0.145,-1.0254,RRc,-,-,**,,,0.29752,0.29727,2.47,BootesI
37,1231507655093621632,210.41828,15.67967,19.53,-1.32,-0.3738,RRab,-,1231507655093621760,**,,0.73622,0.73622,0.73619,7.15,BootesI
38,3728687334175665920,208.51963,13.57149,19.15,-0.9282,-0.6308,RRab,-,3728687334175666176,**,,0.64111,0.64109,0.6411,12.15,BootesI
39,3728695065116355456,208.7447,13.68826,19.42,-0.662,-0.5295,RRc,-,-,**,,,0.56548,0.38765,10.38,BootesI
40,-,209.30218,12.83179,19.69,,,RRc,-,-,**,,,0.30148,,10.75,BootesI
41,1230612927506112000,209.60974,13.46559,19.26,,,RRab,-,1230612927506112000,**,,0.53882,0.53877,,6.58,BootesI
42,1230713292302089728,209.15701,14.10566,19.43,,,RRab,-,1230713292302089728,**,,0.75278,0.31917,,6.72,BootesI
43,1230819704412148224,209.87234,14.17878,19.5,,,RRc,-,-,**,,,0.30236,,2.15,BootesI
44,4632155248445477888,37.34995,-79.66124,17.96,4.0304,-1.4397,RRab,-,-,-,,,,0.632,4.0,HydrusI
45,4632211465272904832,36.86307,-79.34047,17.85,3.8608,-1.6848,RRc,-,-,-,,,,0.43662,0.98,HydrusI
46,4632533789682809344,38.12667,-79.45753,17.87,3.5438,-1.4644,RRab,-,-,-,,,,0.72463,2.04,HydrusI
47,4632586467457695872,37.43306,-79.27732,17.93,3.6615,-1.325,RRab,-,-,-,,,,0.67079,0.37,HydrusI
48,4632605704614645632,36.98767,-79.05208,17.73,3.7845,-1.496,RRab,-,-,-,,,,0.39588,2.95,HydrusI
49,847519849205957760,158.77332,51.92793,20.39,-0.4237,-0.9636,RRab,-,847519849205957760,**,,0.58427,0.58429,0.58428,0.35,UrsaMajorI
50,847520295882556928,158.74685,51.95196,20.3,-0.137,-1.1684,RRab,-,847520295882556928,**,,0.5695,0.56954,0.56954,0.19,UrsaMajorI
51,847700718868881792,158.28003,51.83491,20.43,-1.3395,-0.6513,RRc,-,-,**,,,0.39695,0.39693,2.4,UrsaMajorI
52,847701990178947840,158.15683,51.83232,20.42,-0.0069,-0.9276,RRc,-,-,-,,,,0.40762,3.01,UrsaMajorI
53,847706663103625984,158.62834,51.94127,20.34,-1.0386,-0.5369,RRab,-,-,**,,,0.64317,0.64319,0.8,UrsaMajorI
54,847707728255299712,158.57797,51.97473,20.11,-0.6438,-0.8772,RRab,-,-,**,,,0.74532,0.74532,1.47,UrsaMajorI
55,847779132087730816,158.5836,52.40534,20.41,-0.2675,-1.6209,RRab,-,-,-,,,,0.61996,8.4,UrsaMajorI
56,849022228766244992,158.90671,52.04344,20.43,-0.7219,-0.2432,RRab,-,849022228766244992,**,,0.59975,0.59978,0.59971,1.31,UrsaMajorI
57,4697308356137595904,26.53967,-68.79904,19.44,0.6432,-0.5697,RRab,-,-,-,,,,0.46945,58.0,DelveII
58,4697509983377658880,29.04505,-67.67268,19.92,1.0323,-1.0965,RRab,-,-,-,,,,0.60949,35.53,DelveII
59,-,151.68574,15.99832,17.41,,,RRc,-,-,**,,,0.34007,,1.79,SegueI
60,5293940924860019584,113.78799,-57.9541,18.44,1.9086,0.1704,RRab,-,-,-,,,,0.70514,1.74,CarinaII
61,5293948136108013696,114.15416,-58.02068,18.67,1.7164,0.2363,RRab,-,-,-,,,,0.64241,0.28,CarinaII
62,5293954286501519616,114.19105,-57.86502,18.55,1.9994,0.1049,RRc,-,-,-,,,,0.40796,1.11,CarinaII
63,1249231099634348544,205.78253,20.01304,18.89,-0.6537,-1.1575,RRc,-,1249231099634348288,**,,0.35778,0.35787,0.35791,19.99,BootesIII
64,1250883833113992448,206.91937,20.95189,18.72,-1.6275,-0.6714,RRab,-,-,**,,,0.57545,0.57547,16.78,BootesIII
65,1252246609057063168,214.13753,21.02422,18.45,-0.7983,-0.9844,RRab,-,1252246609057063168,**,,0.60929,0.60929,0.60932,16.6,BootesIII
66,1253064405189570816,214.7455,22.61251,19.1,-0.6965,-0.6289,RRc,-,-,**,,,0.29603,0.26321,13.52,BootesIII
