galaxy,ra,dec,M_V,distance,fe_h,r_h,epsilon,PA,r_t,N_RR,N_RR,N_(RR),N_RR,Ref,Ref,Ref
BootesI,210.0200,14.5135,-6.02,66.0,-2.59,10.5,0.26,6,37.5,15,3,2,16,1,16,"20,21"
BootesIII,209.3,26.8,-5.8,47.0,-2.1,60,0.5,90,,1,7,2,7,2,17,22
SagittariusII,298.1663,-22.065,-5.7,73.1,-2.28,1.7,0.0,103,,5,5,1,6,3,3,23
UrsaMajorI,158.7706,51.9479,-5.12,97.0,-2.10,8.13,0.59,67,24.0,7,6,0,7,1,16,24
HydrusI,37.389,-79.3089,-4.71,27.6,-2.52,6.6,0.2,97,,2,4,0,4,4,16,4
CarinaII,114.1066,-57.9991,-4.5,37.4,-2.44,8.69,0.34,170,,3,2,0,3,5,16,25
ComaBerenices,186.7454,23.9069,-4.38,44.0,-2.25,5.67,0.37,-58,26.1,2,3,0,3,1,16,26
UrsaMajorII,132.8726,63.1335,-4.25,32.0,-2.18,13.9,0.55,-76,59.8,1,4,0,4,1,16,"27,28"
TriangulumII,33.3225,36.1719,-4.2,28.4,-2.6,2.5,0.3,73,,,0,0,0,"6,7",16,
GrusII,331.02,-46.44,-3.9,55.0,-2.51,6.0,,,,1,0,0,1,"8,9,19",19,10
TucanaII,343.06,-58.57,-3.9,58.0,-2.23,7.2,,,,,3,0,3,"8,10",16,
ReticulumII,53.9203,-54.0513,-3.88,30.0,-2.46,5.41,0.56,69,19.2,,0,0,0,1,16,
HorologiumI,43.8813,-54.1160,-3.55,79.0,-2.76,1.71,0.32,53,6.61,,0,0,0,1,18,
ReticulumIII,56.36,-60.45,-3.3,92.0,,2.4,,,,,1,1,1,8,18,
BootesII,209.5141,12.8553,-2.94,42.0,-2.72,3.07,0.23,-71,12.9,1,1,0,1,1,16,22
PhoenixII,354.9928,-54.4050,-2.7,100,-2.51,1.5,0.4,156,8.14,1,1,0,1,"9,11,12",18,9
WillmanI,162.3436,51.0501,-2.53,38.0,-2.11,2.52,0.47,74,16.5,0,0,0,0,1,16,29
CarinaIII,114.6298,-57.8997,-2.4,27.8,-1.97,3.75,0.55,150,,0,0,0,0,5,16,25
EridanusIII,35.6952,-52.2838,-2.37,87.0,-2.40,0.34,0.57,73,1.45,,1,1,1,1,18,
SegueII,34.8226,20.1624,-1.86,35.0,-2.22,3.64,0.21,166,16.8,1,0,0,1,1,16,30
TucanaV,354.35,-63.27,-1.6,55.0,-2.17,1.0,0.7,30,,,0,0,0,"8,19",19,
HorologiumII,49.1077,-50.0486,-1.56,78.0,-2.10,2.17,0.71,137,8.07,,0,0,0,1,18,
SegueI,151.7504,16.0756,-1.30,23.0,-2.74,3.93,0.32,75,16.4,1,0,0,1,1,16,31
TucanaIII,359.1075,-59.5831,-1.3,22.9,-2.42,5.1,0.2,25,,,6,6,6,"11,13",16,
DracoII,238.174,64.579,-0.8,21.5,-2.7,3.0,0.23,76,,,0,0,0,14,16,
VirgoI,180.04,-0.68,-0.8,87.0,,1.5,0.44,51,,,0,0,0,15,,
CetusII,19.47,-17.42,0.0,30.0,,1.9,,,,,0,0,0,8,18,
