index,source_id,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,,,
0,3959869107138861056,ComBer,ComBer-S1,186.68111,23.95070,0.81,93.80,17.89,1.07,1.00,-2.31,c,g,,
1,3959874634761012224,ComBer,ComBer-S2,186.73107,23.93605,0.45,96.40,17.79,1.05,1.00,-2.88,c,g,,
2,3959873883142494720,ComBer,ComBer-S3,186.73609,23.93661,0.47,99.00,17.25,1.12,1.00,-2.53,c,g,,
3,3959867144338018304,ComBer,—,186.68810,23.84574,1.32,106.11,19.89,1.04,0.75,-2.92,g,,,
4,3959867728453587968,ComBer,—,186.73948,23.89943,0.12,96.27,19.15,0.99,1.00,-3.38,g,,,
5,3959867865892540928,ComBer,—,186.69726,23.89887,0.60,91.07,20.22,0.79,0.97,-3.01,g,,,
6,3959869755678143488,ComBer,—,186.88803,23.87207,1.53,89.05,19.53,0.84,0.93,-2.65,g,,,
7,3959888309936927744,ComBer,—,186.62087,24.06772,2.36,98.47,20.31,0.94,0.87,-2.52,g,,,
8,3959870477232655360,ComBer,—,186.83611,23.89460,1.00,89.14,20.49,1.03,0.34,-2.87,g,,,
9,3959868763541740544,ComBer,—,186.71194,23.93341,0.47,93.27,18.61,0.33,1.00,—,j,,,
10,3959869240282051584,ComBer,—,186.85563,23.82725,1.36,113.69,19.01,0.05,1.00,—,j,,,
11,3959870722046625280,ComBer,—,186.80574,23.91066,0.74,91.59,20.63,0.36,0.53,—,j,,,
12,3959874909638929920,ComBer,—,186.70903,23.96174,0.82,101.27,20.34,0.89,0.96,—,j,,,
13,3959887828900577280,ComBer,—,186.63371,24.02378,1.79,99.99,18.56,0.17,1.00,—,j,,,
14,3959847524927441920,ComBer,—,187.10271,23.94040,4.41,—,18.73,0.95,0.96,—,—,,,
15,3959847593646920704,ComBer,—,187.13073,23.94670,4.78,—,18.66,1.02,0.86,—,—,,,
16,3959861097024021504,ComBer,—,186.73234,23.72566,2.82,—,18.57,0.25,1.00,—,—,,,
17,3959861303182454272,ComBer,—,186.72493,23.73044,2.78,—,20.14,1.01,0.75,—,—,,,
18,3959861547996681728,ComBer,—,186.63561,23.71559,3.61,—,19.81,0.91,0.77,—,—,,,
19,3959861960313276928,ComBer,—,186.63421,23.74742,3.16,—,17.06,1.14,1.00,—,—,,,
20,3959862918090172928,ComBer,—,186.75199,23.77212,2.01,—,20.41,0.75,0.79,—,—,,,
21,3959867217352720384,ComBer,—,186.65521,23.83834,1.73,—,20.53,0.76,0.79,—,—,,,
22,3959870099275534336,ComBer,—,186.90519,23.89772,1.82,—,19.70,0.94,0.94,—,—,,,
23,3959870167995015680,ComBer,—,186.88960,23.91535,1.75,—,18.43,0.70,0.99,—,—,,,
24,3959870167995017728,ComBer,—,186.88796,23.91735,1.74,—,19.09,1.00,0.98,—,—,,,
25,3959870683391090688,ComBer,—,186.81881,23.91234,0.91,—,20.65,0.75,0.53,—,—,,,
26,3959871611104028672,ComBer,—,186.92304,23.91865,2.16,—,20.17,0.95,0.69,—,—,,,
27,3959872027716646400,ComBer,—,187.00405,23.96026,3.44,—,19.51,0.96,0.93,—,—,,,
28,3959873535249372160,ComBer,—,186.76510,23.89924,0.21,—,19.91,1.00,0.91,—,—,,,
29,3959873603968850432,ComBer,—,186.75882,23.90764,0.18,—,20.45,0.91,0.93,—,—,,,
30,3959873603969063936,ComBer,—,186.75509,23.91312,0.21,—,20.67,0.67,0.95,—,—,,,
31,3959873947566247936,ComBer,—,186.76404,23.94180,0.69,—,17.83,1.00,1.00,—,—,,,
32,3959874673415916032,ComBer,—,186.73706,23.95046,0.68,—,20.81,0.78,0.91,—,—,,,
33,3959875601129415168,ComBer,—,186.76556,24.01463,1.81,—,17.17,1.08,1.00,—,—,,,
34,3959875768632396800,ComBer,—,186.86491,23.98741,2.23,—,20.23,0.97,0.78,—,—,,,
35,3959876077870051328,ComBer,—,186.83070,24.01264,2.25,—,19.74,0.94,0.92,—,—,,,
36,3959877452259603968,ComBer,—,186.84851,24.06688,3.18,—,18.09,1.04,0.99,—,—,,,
37,3959882228263617536,ComBer,—,186.59553,24.02838,2.02,—,19.85,1.02,0.94,—,—,,,
38,3959884740819808256,ComBer,—,186.51644,24.00724,2.51,—,16.85,1.14,1.00,—,—,,,
39,3959888486031303680,ComBer,—,186.68111,24.07936,2.50,—,15.40,1.42,1.00,—,—,,,
40,3953877451666634240,ComBer,—,186.37624,23.87828,4.47,—,18.51,1.06,0.86,—,—,,,
41,3959813646225316864,ComBer,—,186.78216,23.66171,3.59,—,19.57,0.99,0.69,—,—,,,
42,3959816395004384768,ComBer,—,187.03847,23.65754,3.98,—,18.35,0.63,0.91,—,—,,,
43,—,UMaI,SDSSJ103519.12+515359.5,158.82967,51.89994,0.85,—,22.07,0.01,0.00,-1.41,g,,,
44,847519608687616640,UMaI,—,158.82316,51.92608,0.54,-68.31,18.74,1.28,0.96,-1.14,g,m,,
45,847520334538526848,UMaI,—,158.67198,51.92003,0.28,-61.91,19.23,1.17,1.00,-2.20,g,m,,
46,847708243651375360,UMaI,—,158.71589,51.97377,0.86,-64.06,18.59,1.15,1.00,-2.75,g,m,,
47,847708174931896832,UMaI,—,158.67620,51.96635,0.89,-37.93,18.67,1.30,0.00,-2.56,g,m,,
48,847516172713773440,UMaI,—,158.77871,51.87363,0.96,-40.00,18.95,1.17,0.01,-1.22,g,,,
49,847706972341268608,UMaI,—,158.47213,51.89850,1.27,-62.48,20.49,0.76,0.00,-1.34,g,,,
50,847520605120030720,UMaI,—,158.76470,51.93890,0.26,-68.31,20.44,0.81,0.99,-2.57,o,g,,
51,847706869261834112,UMaI,—,158.62968,51.95030,0.88,-56.67,18.10,1.24,1.00,-2.73,o,g,m,
52,849020961751785472,UMaI,—,158.87024,51.95040,0.71,-57.03,17.82,1.31,1.00,-2.58,o,g,,
53,847706731822875648,UMaI,—,158.59212,51.93622,0.90,-39.30,19.99,0.98,0.00,-1.58,o,g,,
54,849017590201559552,UMaI,—,158.90282,51.88844,1.39,-56.53,20.70,0.51,0.07,-2.57,o,g,,
55,847516103994294528,UMaI,—,158.79778,51.85917,1.26,-55.14,19.22,1.03,1.00,-2.30,o,g,,
56,847517482680353408,UMaI,—,158.70037,51.84745,1.08,-56.00,20.45,0.84,0.83,-2.00,o,g,,
57,847519230730488960,UMaI,—,158.71128,51.87782,0.63,-45.50,20.58,0.70,0.96,-1.40,o,g,,
58,847707556456603520,UMaI,—,158.57182,51.95931,1.30,-59.07,19.52,1.10,0.99,-2.40,o,g,,
59,849018002518350080,UMaI,—,158.92855,51.93824,1.06,-68.79,19.47,1.03,1.00,-2.00,o,g,,
60,847516520606648576,UMaI,—,158.83173,51.88136,1.10,-58.87,20.48,0.37,0.99,—,j,,,
61,847519131947798272,UMaI,—,158.77041,51.88709,0.72,-59.69,20.51,0.26,0.98,—,j,,,
62,847520025300875520,UMaI,—,158.83978,51.97475,0.74,-59.86,20.27,0.68,0.96,—,j,,,
63,847520000000000000,UMaI,—,158.72356,51.91511,0.09,-64.14,20.15,1.26,0.99,—,j,,,
64,847520192803168640,UMaI,—,158.74220,51.92328,0.11,-51.26,20.01,0.90,0.99,—,j,,,
65,847520295882556928,UMaI,—,158.74685,51.95196,0.43,-68.19,20.30,0.20,1.00,—,j,,,
66,847701371703681408,UMaI,—,158.43684,51.90670,1.52,-53.51,20.10,1.10,0.93,—,j,,,
67,847706663103625984,UMaI,—,158.62834,51.94127,0.77,-56.61,20.34,0.47,0.99,—,j,,,
68,847707728255299712,UMaI,—,158.57797,51.97473,1.48,-73.47,20.11,0.52,0.83,—,j,,,
69,849017972454861440,UMaI,—,158.90414,51.94549,0.89,-59.55,20.52,0.59,0.92,—,j,,,
70,849018002518421760,UMaI,—,158.94180,51.94657,1.09,-52.63,20.42,0.28,0.92,—,j,,,
71,849018075533761408,UMaI,—,158.93573,51.96584,1.02,-40.73,19.86,1.03,0.99,—,j,,,
72,849020957455855616,UMaI,—,158.87605,51.95833,0.75,-52.90,20.33,0.75,0.98,—,j,,,
73,849021270989478272,UMaI,—,158.89314,51.99936,1.07,-56.69,20.61,0.22,0.96,—,j,,,
74,849021507211738112,UMaI,—,158.95634,52.00489,1.26,-48.74,19.92,0.84,0.91,—,j,,,
75,849022228766245120,UMaI,—,158.90671,52.04344,1.60,-25.97,20.43,0.61,0.92,—,j,,,
76,847515245001014784,UMaI,—,158.89520,51.82919,2.15,—,20.48,0.75,0.86,—,—,,,
77,847519849205957760,UMaI,—,158.77332,51.92793,0.26,—,20.39,0.56,0.99,—,—,,,
78,847698932162480128,UMaI,—,158.25768,51.79609,2.24,—,20.90,0.55,0.86,—,—,,,
79,847700031674114560,UMaI,—,158.43620,51.83499,1.41,—,20.51,0.04,1.00,—,—,,,
80,847700718868881920,UMaI,—,158.28003,51.83491,2.09,—,20.43,0.45,0.84,—,—,,,
81,847701990178947840,UMaI,—,158.15683,51.83232,2.72,—,20.42,0.41,0.76,—,—,,,
82,847704326641185408,UMaI,—,158.38426,51.92151,1.94,—,20.07,1.08,0.93,—,—,,,
83,847704434016766720,UMaI,—,158.39778,51.93318,1.98,—,19.87,0.93,0.64,—,—,,,
84,847705975908854528,UMaI,—,158.51178,51.87997,0.99,—,20.54,0.31,0.98,—,—,,,
85,847706147707301760,UMaI,—,158.47656,51.86228,1.16,—,20.26,0.57,0.95,—,—,,,
86,847707006700773632,UMaI,—,158.49136,51.90606,1.20,—,20.37,0.54,0.70,—,—,,,
87,847707350298393472,UMaI,—,158.47407,51.94437,1.66,—,20.81,-0.08,0.73,—,—,,,
88,847716356845689344,UMaI,—,158.12545,51.95135,3.72,—,17.12,1.48,1.00,—,—,,,
89,849013638831653632,UMaI,—,159.35696,52.05978,3.02,—,20.58,1.02,0.65,—,—,,,
90,849017010381183744,UMaI,—,158.98127,51.92640,1.44,—,20.51,0.36,0.98,—,—,,,
91,849018453490931840,UMaI,—,158.99886,51.97692,1.32,—,20.58,0.70,0.74,—,—,,,
92,849019857944242048,UMaI,—,159.07142,52.01200,1.69,—,20.13,0.95,0.91,—,—,,,
93,849020167181942528,UMaI,—,159.07563,52.03784,1.82,—,20.41,0.47,0.71,—,—,,,
94,849020755593349376,UMaI,—,159.18798,52.08359,2.46,—,20.32,0.51,0.78,—,—,,,
95,849020820016978048,UMaI,—,159.17811,52.10100,2.56,—,20.42,0.44,0.89,—,—,,,
96,849021438492203264,UMaI,—,158.96669,51.99805,1.24,—,19.90,1.11,0.99,—,—,,,
97,849024363365880576,UMaI,—,159.07709,52.12619,2.68,—,20.32,0.71,0.61,—,—,,,
98,849024496508951680,UMaI,—,159.02815,52.12170,2.61,—,18.55,1.20,0.99,—,—,,,
99,1230826335841709056,BooI,Boo-007,209.89801,14.33992,1.19,114.40,17.60,1.16,1.00,-2.28,b,,,
100,1230830222787068928,BooI,Boo-033,210.04885,14.41705,0.48,98.96,17.49,1.25,1.00,-2.47,b,,,
101,1230835892143883008,BooI,Boo-094,210.13127,14.56765,0.78,95.07,16.60,1.32,1.00,-2.90,b,,,
102,1230835578610843648,BooI,Boo-117,210.04369,14.52931,0.20,99.54,17.44,1.23,1.00,-2.18,b,f,h,e
103,1230861043472371456,BooI,Boo-121,210.15215,14.65759,1.16,132.74,17.09,1.29,1.00,-2.39,b,,,
104,1230837163454204672,BooI,Boo-127,210.06067,14.59797,0.56,99.00,17.38,1.27,1.00,-1.98,b,,,
105,1230649834160653312,BooI,Boo-980,209.80284,13.71547,4.37,105.00,17.86,1.08,0.97,-3.09,i,d,,
106,1230837163454204672,BooI,Boo-127,210.06067,14.59797,0.56,99.00,17.38,1.27,1.00,-2.08,i,f,h,d
107,1230744529599617280,BooI,Boo-1137,209.64089,14.35235,2.70,110.00,17.35,1.22,1.00,-3.66,f,d,,
108,1230834826991992832,BooI,Boo-130,209.95406,14.50172,0.49,110.50,17.49,1.19,1.00,-2.29,f,d,,
109,1230830222787068928,BooI,Boo-33,210.04885,14.41705,0.48,98.96,17.49,1.25,1.00,-2.29,f,d,,
110,1230835892143883008,BooI,Boo-094,210.13127,14.56765,0.79,95.07,16.60,1.32,1.00,-2.90,f,h,d,
111,1230823247760125184,BooI,Boo-009,209.95335,14.32858,1.01,124.90,17.11,1.26,1.00,-2.67,h,d,,
112,1230848914484728064,BooI,Boo-911,210.00446,14.61430,0.64,91.83,17.16,1.28,1.00,-1.98,h,d,b,
113,1230861043472371456,BooI,Boo-121,210.15215,14.65759,1.17,132.74,17.09,1.29,1.00,-2.37,h,d,,
114,1230831047420766464,BooI,Boo-41,210.10763,14.43545,0.68,107.96,17.68,1.19,1.00,-1.93,f,e,o,d
115,1230833585745988096,BooI,Boo-119,210.04105,14.47305,0.19,92.45,17.71,1.23,1.00,-3.33,f,o,,
116,1230846676806885120,BooI,Boo08*,209.93728,14.54170,0.66,101.75,20.33,0.89,0.84,-2.48,e,o,p,
117,1230835028855032832,BooI,Boo14*,209.95139,14.53433,0.55,105.47,19.35,0.72,0.97,-2.57,e,o,p,
118,1230835063214777600,BooI,Boo06*,209.96803,14.54602,0.48,98.55,20.18,1.02,0.98,-2.20,e,o,p,
119,1230833723185498112,BooI,Boo15*,209.99103,14.46737,0.28,101.67,19.96,1.07,0.99,-2.89,e,o,p,
120,1230833963703127808,BooI,Boo07*,210.02221,14.50649,0.04,98.88,20.60,0.73,0.92,-2.49,e,o,p,
121,1230830493370084864,BooI,Boo19*,210.02338,14.43857,0.33,106.64,19.91,0.71,0.90,-3.29,e,o,p,
122,1230836368884839424,BooI,Boo02*,210.05382,14.55327,0.34,101.25,18.99,1.06,1.00,-2.37,e,o,p,
123,1230830321570823424,BooI,Boo-25,210.09100,14.43150,0.60,100.35,20.52,0.86,0.85,-2.76,e,o,p,
124,1230835956567981824,BooI,Boo-13,210.09351,14.55748,0.54,98.30,19.17,0.80,0.85,-2.49,e,o,p,
125,1230835681690063872,BooI,Boo-12,210.11369,14.53877,0.63,105.29,19.83,1.03,0.99,-2.48,e,o,p,
126,1230832417514897920,BooI,Boo-03,210.13780,14.49991,0.77,96.62,19.16,1.01,1.00,-3.09,e,o,p,
127,1230830463305085184,BooI,Boo-23,210.04805,14.43224,0.41,113.29,21.05,0.61,0.00,-2.90,e,p,,
128,1230834547819224320,BooI,Boo22*,209.96096,14.48643,0.44,92.80,18.55,1.09,1.00,-2.87,e,o,,
129,1230833963703127552,BooI,—,210.01280,14.50657,0.09,97.90,21.04,0.72,0.00,-1.90,o,p,,
130,1230833860623898624,BooI,—,210.01386,14.48096,0.12,115.90,20.25,0.70,0.00,-2.32,o,p,,
131,1230828122548139008,BooI,—,209.91402,14.44401,0.80,102.01,19.86,1.05,0.92,-2.20,o,p,,
132,1230834410380273664,BooI,—,209.92577,14.49508,0.68,90.18,19.04,1.07,0.99,-2.30,o,p,,
133,1230835578610843648,BooI,Boo-117,210.04369,14.52931,0.20,98.20,17.44,1.23,0.00,-2.25,o,d,,
134,1230833963703127552,BooI,Boo-04,210.01280,14.50657,0.09,101.47,21.04,0.72,0.00,-2.39,e,,,
135,1230846745526363136,BooI,Boo-05,209.93445,14.54480,0.68,99.70,20.92,1.02,0.00,-2.89,e,,,
136,1230833860623898624,BooI,Boo-18,210.01386,14.48096,0.12,107.85,20.25,0.70,0.34,-2.51,e,,,
137,1230835853488763136,BooI,Boo-09,210.10727,14.55231,0.54,—,19.52,0.60,0.07,-2.65,e,,,
138,1230833486962192640,BooI,Boo-28,210.01729,14.45611,0.29,—,15.85,0.83,0.00,-2.31,e,,,
139,1230831803334814464,BooI,Boo-30,210.10087,14.44123,0.62,—,20.98,1.64,0.00,-1.86,e,,,
140,1230724631016059904,BooI,Boo-1069,209.72176,14.11606,2.82,112.00,18.49,0.99,0.77,-2.51,d,,,
141,1230826335841709056,BooI,Boo-7,209.89801,14.33992,1.18,114.40,17.60,1.16,1.00,-2.32,d,,,
142,1230823312184726272,BooI,Boo-8,209.91088,14.32108,1.19,107.50,18.46,1.01,0.98,-2.75,d,,,
143,1230773937240652800,BooI,Boo-78,210.06138,14.22053,1.54,103.50,18.63,1.07,1.00,-2.46,d,,,
144,1230775345989954048,BooI,Boo-34,210.08794,14.29109,1.23,111.25,18.07,1.14,1.00,-3.10,d,,,
145,1231035483568837120,BooI,—,209.42329,14.58663,4.18,98.70,19.83,1.02,0.65,-1.92,n,,,
146,1230843309552514304,BooI,—,209.57916,14.50216,3.06,123.80,19.40,1.00,0.91,-2.43,n,,,
147,1231031497839177728,BooI,—,209.59272,14.54056,2.99,106.50,18.87,1.02,0.92,-2.30,n,,,
148,1231074516231323136,BooI,—,209.85213,15.04768,3.24,114.30,19.81,0.84,0.67,-2.17,n,,,
149,1230874542554264832,BooI,—,210.05695,14.75375,1.36,98.20,19.97,1.02,0.98,-3.97,n,,,
150,1230887118218565632,BooI,—,210.06789,14.94406,2.38,105.00,19.30,0.98,0.98,-2.56,n,,,
151,1230874954871117824,BooI,—,210.11529,14.73794,1.38,114.10,20.05,0.95,0.98,-2.46,n,,,
152,1230769470474643456,BooI,—,210.11893,14.12933,2.13,93.30,19.31,0.93,0.96,-2.80,n,,,
153,1230861142257868032,BooI,—,210.16386,14.66974,1.27,94.80,20.12,0.99,0.91,-3.98,n,,,
154,1229998300506922496,BooI,—,210.35767,13.88567,4.14,107.60,19.83,0.75,0.19,-1.90,n,,,
155,1231095269513901568,BooI,—,210.02997,15.23860,3.96,96.80,19.78,0.93,0.75,-3.99,n,,,
156,1231068881234192640,BooI,—,210.03399,14.92352,2.27,116.00,19.88,0.85,0.74,-2.59,n,,,
157,1230672610372100096,BooI,—,209.99684,13.99147,2.72,104.40,19.29,0.96,0.76,-2.45,n,,,
158,1230849081988080896,BooI,—,210.04421,14.63995,0.75,101.19,19.36,1.06,0.99,-3.00,k,n,,
159,1230848326073809408,BooI,—,209.98056,14.58134,0.55,100.03,19.14,1.10,1.00,-2.60,k,n,p,
160,1230847089123225856,BooI,—,209.93098,14.57732,0.79,99.81,20.26,0.79,0.75,-2.28,k,p,,
161,1230849425585454592,BooI,—,209.93573,14.61934,0.92,97.93,19.87,1.04,0.99,-2.43,k,p,,
162,1230826988676907520,BooI,—,209.93776,14.39093,0.81,102.84,20.75,0.45,0.82,-1.99,k,p,,
163,1230827297914411520,BooI,—,209.94307,14.41995,0.68,98.07,19.89,0.85,0.55,-2.62,k,p,,
164,1230848772750422272,BooI,—,209.95056,14.61297,0.82,103.20,20.37,0.82,0.80,-2.14,k,p,,
165,1230853376955406848,BooI,—,209.95224,14.70124,1.22,111.75,19.82,0.86,0.95,-2.19,k,p,,
166,1230834620833562624,BooI,—,209.96213,14.50077,0.43,99.94,16.51,1.43,1.00,-2.26,k,p,,
