index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
99,BooI,Boo-007,209.89801,14.33992,1.19,114.40,17.6,1.16,1.0,-2.28,b,,,,1230826335841709184,209.89800716510604,0.0813395,14.33991683282659,0.06909351,-0.06741432315949777,0.103196025,1.116747,-0.36710580030592255,0.1040455,-1.0546834544310066,0.088428326,17.604858,18.097492,16.941639,1710.0291467088507,1.6096089,787.8068862240656,19.872307,1325.876122267699,14.567187,0.015091956135754531
100,BooI,Boo-033,210.04885,14.41705,0.48,98.96,17.49,1.25,1.0,-2.47,b,,,,1230830222787069056,210.04884665607668,0.087436005,14.417053479799495,0.07679443,-0.04796820468933778,0.1001916,1.1097885,-0.29386465012027174,0.120530814,-1.070174843452774,0.100545086,17.490297,18.043352,16.798187,1900.3263460590174,1.7856956,828.0866004589826,8.481576,1513.1551764862618,7.9653883,0.01711332056988946
101,BooI,Boo-094,210.13127,14.56765,0.78,95.07,16.6,1.32,1.0,-2.90,b,,,,1230835892143883008,210.13126564733906,0.04525308,14.567654157332099,0.035735905,-0.013560544197614367,0.055650998,1.1505606,-0.37670585486491126,0.06131966,-1.0871441454575757,0.043183878,16.604387,17.180693,15.860929,4297.264238621613,2.79613,1832.9053486229948,17.839487,3587.45882787359,10.525846,0.02130716293709287
102,BooI,Boo-117,210.04369,14.52931,0.2,99.54,17.44,1.23,1.0,-2.18,b,f,h,e,1230835578610843648,210.04369046173426,0.07387082,14.529306806813493,0.058015537,-0.30684458467602693,0.08831475,1.1969625,-0.26596580126739117,0.09748501,-1.167039560851868,0.073093645,17.440031,17.973501,16.74401,1990.3723247189214,1.5945706,883.1126965789559,9.652367,1590.5742674166497,6.6248074,0.011607541264989325
103,BooI,Boo-121,210.15215,14.65759,1.16,132.74,17.09,1.29,1.0,-2.39,b,,,,1230861043472371712,210.15215229982306,0.05939554,14.657587531465097,0.04727828,0.03758622066581507,0.07476578,1.088317,-0.3536322618684051,0.070283346,-1.0292609389571346,0.055445183,17.09221,17.661,16.36752,2741.9682303227382,1.7785468,1177.6535266676158,11.030163,2249.8320236339314,8.825462,0.011963804258068072
104,BooI,Boo-127,210.06067,14.59797,0.56,99.00,17.38,1.27,1.0,-1.98,b,,,,1230837163454204672,210.0606729706726,0.068678275,14.597974504434042,0.0515381,0.049625324071437465,0.08357863,1.1483878,-0.40188475533165224,0.0895361,-1.0757709924547596,0.06273449,17.379477,17.93871,16.66454,2104.536370149151,1.6570216,911.8709551801464,10.349357,1711.363207712787,8.272725,0.019237023520159335
105,BooI,Boo-980,209.80284,13.71547,4.37,105.00,17.86,1.08,0.97,-3.09,i,d,,,1230649834160653440,209.80283669851016,0.10227533,13.715469925826486,0.07841957,-0.15175614541531268,0.13097665,1.2264644,-0.30979397970933104,0.12790738,-1.1866939194017163,0.10244676,17.86427,18.342344,17.261286,1346.6006507385848,1.4523402,628.7519306398092,11.056609,987.7436663698,14.537891,0.011549541180905494
107,BooI,Boo-1137,209.64089,14.35235,2.7,110.00,17.35,1.22,1.0,-3.66,f,d,,,1230744529599617280,209.64088704788296,0.07689502,14.352353581136557,0.066713035,-0.07114805830436435,0.09735503,1.0593871,-0.35766584853303385,0.10757895,-0.9971841220505223,0.08269636,17.349297,17.888977,16.667856,2163.8535524241906,1.8993379,954.6108938758206,8.41949,1706.1426979610123,12.769504,0.01649885425179197
108,BooI,Boo-130,209.95406,14.50172,0.49,110.50,17.49,1.19,1.0,-2.29,f,d,,,1230834826991993088,209.95405532600086,0.08615227,14.501722187644425,0.06834301,-0.04222745852777879,0.099300615,1.0443327,-0.2865936596693468,0.12130376,-1.0042384410407634,0.08732011,17.488422,18.007277,16.821903,1903.6087590146224,1.6454246,856.0637919759558,10.826194,1480.4617545422198,9.62509,0.018094143006768773
111,BooI,Boo-009,209.95335,14.32858,1.01,124.90,17.11,1.26,1.0,-2.67,h,d,,,1230823247760125184,209.95334647486834,0.06449922,14.328578924492852,0.050443802,-0.13014965236250683,0.07999762,1.187218,-0.3444823448729043,0.08018723,-1.1361418605476419,0.064384535,17.10847,17.66134,16.403893,2701.208761990085,1.826173,1177.2831913012815,10.247168,2175.709391308515,9.755198,0.012890902585088525
112,BooI,Boo-911,210.00446,14.6143,0.64,91.83,17.16,1.28,1.0,-1.98,h,d,b,,1230848914484728064,210.00445731627767,0.060615342,14.614304767920396,0.05130096,-0.02738659704349916,0.07391934,0.91284686,-0.32170984021569415,0.07648126,-0.8542787218527513,0.065610506,17.159504,17.717514,16.441673,2577.1833250514733,1.7802914,1117.921252582082,10.302355,2101.3034026107966,11.434114,0.019545355204172943
114,BooI,Boo-41,210.10763,14.43545,0.68,107.96,17.68,1.19,1.0,-1.93,f,e,o,d,1230831047420766464,210.10763141099943,0.09978874,14.435445478479105,0.07120962,0.2027804355078268,0.11553157,0.98301786,-0.37855589689643104,0.123106115,-0.9072042361226688,0.09066826,17.681875,18.222284,17.030493,1592.9300991530292,1.5516477,702.2689359079703,10.598025,1221.6901117275415,10.939304,0.017004559049984297
115,BooI,Boo-119,210.04105,14.47305,0.19,92.45,17.71,1.23,1.0,-3.33,f,o,,,1230833585745987968,210.0410481804865,0.08858891,14.473049493307462,0.07965536,-0.12344304446555324,0.11033974,1.2722474,-0.3768733334917382,0.122501,-1.215146080386901,0.09822192,17.707207,18.249777,17.024689,1556.1960505719499,1.5482254,684.7097605561293,8.596014,1228.2381239109943,9.489385,0.006599475772422621
116,BooI,Boo08*,209.93728,14.5417,0.66,101.75,20.33,0.89,0.84,-2.48,e,o,p,,1230846676806885120,209.93728409646096,0.5513372,14.54170248128463,0.50842446,0.522666192265163,0.61486185,1.9207909,-1.2925593734689818,0.7435332,-1.4208195045139516,0.6660225,20.325294,20.701496,19.812838,139.58173677554674,0.702814,71.58446005859331,7.431106,94.19399787258978,6.9297314,0.016839318454052093
117,BooI,Boo14*,209.95139,14.53433,0.55,105.47,19.35,0.72,0.97,-2.57,e,o,p,,1230835028855032832,209.95139421801323,0.27169165,14.534332511729005,0.22894771,0.2797629962827246,0.3278701,1.3566897,-0.29463294037956755,0.35663807,-1.32431055445388,0.28734463,19.35076,19.616316,18.894314,342.48594944145896,0.9604137,194.48684280957585,10.139593,219.49888583687886,8.630977,0.017257441754237775
