index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
0,ComBer,ComBer-S1,186.68111,23.9507,0.81,93.80,17.89,1.07,1.0,-2.31,c,g,,,3959869107138860800,186.68110862097214,0.102126315,23.950702844039785,0.084211215,0.10145383001994705,0.116697274,1.7519064,0.3904368474441787,0.123343065,-1.7078451847147784,0.115504384,17.888369,18.359316,17.287197,1317.0399021484595,1.5371623,618.9997307275985,11.564847,964.4488329544919,9.804662,0.011198769133872946
1,ComBer,ComBer-S2,186.73107,23.93605,0.45,96.40,17.79,1.05,1.0,-2.88,c,g,,,3959874634761013120,186.73107322960354,0.10328877,23.936050982835987,0.08992825,-0.029868866490729798,0.12237159,1.850112,0.24136498225767972,0.1255561,-1.8343001518152604,0.12542225,17.785328,18.243013,17.191772,1448.1571451423845,1.7158341,688.988329783961,10.379361,1053.051362458387,11.470274,0.011200229105209493
2,ComBer,ComBer-S3,186.73609,23.93661,0.47,99.00,17.25,1.12,1.0,-2.53,c,g,,,3959873883142494208,186.73609090063152,0.07408717,23.93661199994853,0.06388991,0.03006397506354913,0.08904648,1.7242689,0.47778293858722676,0.09294992,-1.6567519017847048,0.09207671,17.246145,17.73208,16.611496,2379.5140545526137,2.149632,1103.0242812123197,13.641373,1797.0494928520905,14.410261,0.007785833182223251
3,ComBer,â,186.6881,23.84574,1.32,106.11,19.89,1.04,0.75,-2.92,g,,,,3959867144338018688,186.68809890017408,0.4852836,23.845743405417394,0.45504045,0.39287975598417113,0.51518744,0.98015016,-0.6076965117385984,0.66155225,-0.7690249115936987,0.6831304,19.889135,20.321253,19.283417,208.58974772787732,0.9484155,101.60511493155947,9.371183,153.38796405591071,9.7659235,0.01278318702776415
4,ComBer,â,186.73948,23.89943,0.12,96.27,19.15,0.99,1.0,-3.38,g,,,,3959867728453587968,186.73947979405227,0.27972543,23.89942906691715,0.19951282,0.1608759275647958,0.29192764,1.4097106,0.37773002975049724,0.3553353,-1.3581620616926766,0.286484,19.15339,19.623978,18.636312,410.76189404618384,1.0825026,193.11941922699103,7.3785157,278.37694607791894,11.088135,0.003426807599878376
5,ComBer,â,186.69726,23.89887,0.6,91.07,20.22,0.79,0.97,-3.01,g,,,,3959867865892541312,186.69725685686572,0.49157843,23.898874832021804,0.42455652,0.6580835060598407,0.5743445,1.7399186,0.2763113345413057,0.6242457,-1.7178383488873208,0.6143744,20.223938,20.547874,19.753284,153.23986198089463,0.77431273,82.46452797981442,10.387474,99.50487379031,6.612952,0.020239009010958257
6,ComBer,â,186.88803,23.87207,1.53,89.05,19.53,0.84,0.93,-2.65,g,,,,3959869755678142720,186.88802566470693,0.3501753,23.872069224981633,0.23315874,-0.04360636768450124,0.34477317,2.146009,0.56697469434495,0.47129455,-2.0697570310506017,0.29772642,19.528492,19.872252,19.033354,290.7702329979208,0.951368,153.64423867429056,7.573193,193.1153434428413,6.8336253,0.014542055692918788
7,ComBer,â,186.62087,24.06772,2.36,98.47,20.31,0.94,0.87,-2.52,g,,,,3959888309936928256,186.6208683411115,0.6188739,24.06771843247318,0.55440706,0.32914611438945557,0.73266196,2.212178,1.0339626688199743,0.77421653,-1.9556718585256179,0.84223557,20.310116,20.97531,20.03957,141.5468924548969,0.8802859,55.62797179396031,7.6548433,76.44171299525257,8.70762,0.007847149602393253
8,ComBer,â,186.83611,23.8946,1.0,89.14,20.49,1.03,0.34,-2.87,g,,,,3959870477232654976,186.83610666035685,0.6953085,23.894596325592683,0.59542066,1.0955914330063745,0.82003987,1.5415827,-1.5210863525674512,0.8505988,-0.2505464258683787,0.7962763,20.48807,20.865116,19.835823,120.14866164569561,0.8541266,61.57016950022804,7.391993,92.22087833959006,7.582126,0.01719902732157163
9,ComBer,â,186.71194,23.93341,0.47,93.27,18.61,0.33,1.0,â,j,,,,3959868763541740544,186.71193749075576,0.16955131,23.933414952859902,0.13501056,0.028349898672183786,0.1883064,2.1385217,0.45753276379242125,0.2023683,-2.0890041264391166,0.19166146,18.612707,18.7041,18.372204,675.871166524966,4.807803,450.58546831263175,18.284607,355.03938722007,13.4135275,0.019649185359517853
