index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
44,UMaI,â,158.82316,51.92608,0.54,-68.31,18.74,1.28,0.96,-1.14,g,m,,,847519608687616640,158.8231621482826,0.10282479,51.92607915019138,0.12574756,-0.041270302553314736,0.17597233,0.93942946,-0.7630743706722796,0.14947248,-0.5479463878135229,0.16974744,18.740925,19.301592,18.019043,600.5886435303242,0.93257,259.8842562783879,6.772393,491.5195793426965,12.581256,0.005666157449350644
45,UMaI,â,158.67198,51.92003,0.28,-61.91,19.23,1.17,1.0,-2.20,g,m,,,847520334538526976,158.67198056207314,0.13577832,51.92003387574322,0.16845684,0.005131059602279955,0.22972737,0.6573651,-0.10645965300666543,0.19371828,-0.6486873149434367,0.21865086,19.227041,19.7466,18.575346,383.8223151483434,0.7713185,172.49516007770626,5.7992473,294.45582442466286,7.0878735,0.014008377578589849
46,UMaI,â,158.71589,51.97377,0.86,-64.06,18.59,1.15,1.0,-2.75,g,m,,,847708243651375488,158.71588612431106,0.09125008,51.9737708622264,0.11615553,0.0019550649045287447,0.1606902,0.9657593,-0.5354318750241641,0.12954764,-0.8037435301130856,0.15107179,18.59393,19.070326,17.922169,687.6620682190426,0.9086067,321.5784301185443,10.470533,537.3912839346577,8.925691,0.009138357054065993
47,UMaI,â,158.6762,51.96635,0.89,-37.93,18.67,1.3,0.0,-2.56,g,m,,,847708174931896832,158.67619637300993,0.09726268,51.96635313702358,0.11768101,0.5823804249396007,0.16712426,31.368261,-4.020847862963213,0.14590067,-31.10949392519064,0.15558842,18.669487,19.254765,17.95454,641.4335975916647,0.92433673,271.3380545321667,5.8299313,521.6053049848281,8.510453,0.013865700152640074
48,UMaI,â,158.77871,51.87363,0.96,-40.00,18.95,1.17,0.01,-1.22,g,,,,847516172713773568,158.77870904552566,0.109752186,51.87362526932567,0.14019346,0.15383656709102547,0.1913479,0.9061005,0.35724396394344093,0.16346921,-0.8327033500870251,0.18615928,18.947842,19.462582,18.28979,496.37564893913844,0.8014831,224.07040427729893,5.134451,383.03885363829744,7.0327225,0.017162051061966475
49,UMaI,â,158.47213,51.8985,1.27,-62.48,20.49,0.76,0.0,-1.34,g,,,,847706972341268608,158.4721339951147,0.3951932,51.898498736384276,0.5179784,-2.053345439754548,0.7276531,6.217007,0.812701422484298,0.639858,-6.1636589732911276,0.75937617,20.487476,20.79605,20.034931,120.21442331765778,0.70399976,65.61414048617371,5.678904,76.7689624323775,5.507517,0.009972709675672115
50,UMaI,â,158.7647,51.9389,0.26,-68.31,20.44,0.81,0.99,-2.57,o,g,,,847520605120030848,158.76470232562536,0.39223817,51.93890470533928,0.4836409,0.19925814004426656,0.6694369,1.3090032,-1.3056702485217186,0.55890083,-0.09335316750601708,0.67017496,20.440277,20.63935,19.833937,125.55555654796738,0.6462702,75.80133739076011,8.602523,92.38115419522079,7.091067,0.017708143742836188
51,UMaI,â,158.62968,51.9503,0.88,-56.67,18.1,1.24,1.0,-2.73,o,g,m,,847706869261834112,158.62967816906473,0.0653843,51.95029513913421,0.08085044,0.036804915235816436,0.11143371,0.87208575,-0.4427482785697271,0.09043747,-0.7513371788264209,0.10628479,18.102125,18.647253,17.406197,1081.6737707944883,1.1121614,474.8051431787625,6.5037255,864.3303937132692,7.666809,0.017964505058762213
52,UMaI,â,158.87024,51.9504,0.71,-57.03,17.82,1.31,1.0,-2.58,o,g,,,849020961751785472,158.87024311643071,0.05775142,51.950395706049314,0.071405865,0.14125286540770862,0.10256304,0.62846345,-0.31420800701299534,0.08150846,-0.5442789980742337,0.09906719,17.81981,18.393076,17.08806,1402.8869876665822,1.3578959,600.0487982889047,11.213181,1158.6013133471924,10.31639,0.016934337649951007
53,UMaI,â,158.59212,51.93622,0.9,-39.30,19.99,0.98,0.0,-1.58,o,g,,,847706731822875776,158.59211880030097,0.27418366,51.93621922919443,0.34845448,-0.1767068871469409,0.4819748,10.000804,-3.0064257648272146,0.36580807,-9.538211880151286,0.47477219,19.985788,20.344103,19.36077,190.8233561730964,0.6852268,99.48909287471669,6.3197746,142.840105008037,6.3266034,0.0038458358791201375
54,UMaI,â,158.90282,51.88844,1.39,-56.53,20.7,0.51,0.07,-2.57,o,g,,,849017590201559552,158.90282061517442,0.58001894,51.88844464306602,0.7767906,-0.14888208562257932,1.1113932,1.7575785,1.4956191610076017,0.88003194,-0.9231497851373365,1.2202197,20.703505,20.625038,20.115934,98.52460430359422,0.8173641,76.80711083673756,9.8762865,71.24990941561806,7.3810487,0.016770831242777933
55,UMaI,â,158.79778,51.85917,1.26,-55.14,19.22,1.03,1.0,-2.30,o,g,,,847516103994294656,158.79778295468276,0.1297011,51.85917170328312,0.1746907,0.045177968138967434,0.24167262,0.83870596,-0.5138109398588805,0.19056901,-0.6628921166825847,0.25171283,19.215017,19.662683,18.628187,388.0965690443833,0.8365448,186.355957243286,5.7869997,280.4682299615412,5.3227696,0.008986363398962601
56,UMaI,â,158.70037,51.84745,1.08,-56.00,20.45,0.84,0.83,-2.00,o,g,,,847517482680353408,158.70036687265667,0.37649116,51.84745023575397,0.44828975,1.2650944993813313,0.62993145,0.21339698,-0.05131973184678778,0.62552595,0.20713414495856775,0.6137831,20.450108,20.739302,19.89616,124.42384357167374,0.6415513,69.13477312705261,5.181818,87.23568841570675,5.25679,0.0070065745541368065
